Function,,CC-fGDG-PSO,CC-DGDG-PSO3,CC-DGDG-PSO6,CC-DGDG-PSO9
f1,Min,4.27E-01,8.00E-02,5.30E-02,1.30E-01
,Median,1.36E+03,1.74E+00,1.82E-01,4.65E-01
,Mean,1.06E+05,4.93E+00,2.43E-01,5.51E-01
,Std,4.72E+05,8.05E+00,2.18E-01,3.66E-01
f2,Min,7.36E+03,7.44E+03,7.27E+03,7.12E+03
,Median,7.85E+03,7.74E+03,7.66E+03,7.54E+03
,Mean,7.86E+03,7.74E+03,7.62E+03,7.56E+03
,Std,2.30E+02,1.52E+02,1.85E+02,2.15E+02
f3,Min,1.20E+01,6.01E+00,4.35E+00,3.63E+00
,Median,1.30E+01,6.60E+00,5.10E+00,4.14E+00
,Mean,1.30E+01,6.75E+00,5.11E+00,4.09E+00
,Std,8.00E-01,4.50E-01,4.17E-01,2.59E-01
f4,Min,4.69E+11,1.72E+11,2.84E+11,2.53E+11
,Median,1.06E+12,3.44E+11,5.19E+11,6.23E+11
,Mean,1.14E+12,3.78E+11,5.61E+11,6.54E+11
,Std,4.56E+11,1.23E+11,1.94E+11,2.02E+11
f5,Min,2.71E+08,2.85E+08,3.62E+08,3.13E+08
,Median,3.47E+08,5.32E+08,4.56E+08,4.80E+08
,Mean,3.46E+08,5.09E+08,4.71E+08,4.91E+08
,Std,3.57E+07,1.12E+08,7.13E+07,1.13E+08
f6,Min,2.43E+06,3.54E+06,2.73E+06,2.20E+06
,Median,3.47E+06,4.98E+06,4.05E+06,4.35E+06
,Mean,3.58E+06,8.78E+06,5.95E+06,8.04E+06
,Std,1.00E+06,6.66E+06,5.17E+06,6.42E+06
f7,Min,5.73E+03,4.40E-01,9.01E-04,3.80E-03
,Median,5.95E+05,3.26E+00,2.92E-02,1.02E-01
,Mean,1.21E+05,5.60E+00,8.48E-02,2.11E-01
,Std,1.61E+05,6.79E+00,1.96E-01,2.58E-01
f8,Min,1.63E+02,1.04E+02,5.26E-04,3.01E+02
,Median,3.43E+07,1.15E+07,1.10E-02,2.08E+06
,Mean,4.63E+07,1.53E+07,9.50E+03,1.77E+07
,Std,4.02E+07,2.04E+07,4.70E+04,3.36E+07
f9,Min,4.97E+06,5.61E+06,4.70E+06,4.33E+06
,Median,7.84E+06,7.52E+06,6.11E+06,5.78E+06
,Mean,7.86E+06,7.37E+06,6.23E+06,5.89E+06
,Std,1.31E+06,9.96E+05,7.79E+05,8.96E+05
f10,Min,7.44E+03,8.95E+03,8.31E+03,8.50E+03
,Median,7.81E+03,9.73E+03,9.40E+03,9.43E+03
,Mean,7.81E+03,9.82E+03,9.50E+03,9.44E+03
,Std,1.94E+02,5.05E+02,4.93E+02,4.50E+02
f11,Min,7.70E+01,1.11E+02,1.02E+02,1.07E+02
,Median,8.60E+01,1.32E+02,1.20E+02,1.24E+02
,Mean,8.60E+01,1.34E+02,1.21E+02,1.25E+02
,Std,4.62E+00,1.70E+01,8.61E+00,8.45E+00
f12,Min,4.60E+01,1.00E+01,9.80E-01,4.43E-01
,Median,4.57E+02,1.80E+01,1.83E+00,9.36E-01
,Mean,9.22E+02,2.10E+01,2.00E+00,9.15E-01
,Std,1.47E+03,1.20E+01,7.70E-01,2.41E-01
f13,Min,5.04E+02,3.96E+02,1.15E+03,1.50E+03
,Median,9.61E+02,1.06E+03,1.91E+03,2.86E+03
,Mean,1.01E+03,1.22E+03,2.05E+03,3.03E+03
,Std,3.99E+02,5.25E+02,8.25E+02,1.38E+03
f14,Min,1.55E+07,1.61E+07,1.59E+07,1.30E+07
,Median,1.81E+07,2.08E+07,1.82E+07,1.70E+07
,Mean,1.83E+07,2.12E+07,1.89E+07,1.66E+07
,Std,1.78E+06,2.48E+06,2.26E+06,1.67E+06
f15,Min,7.30E+03,1.03E+04,9.92E+03,9.96E+03
,Median,7.80E+03,1.09E+04,1.08E+04,1.11E+04
,Mean,7.76E+03,1.10E+04,1.09E+04,1.10E+04
,Std,2.67E+02,4.92E+02,6.00E+02,5.10E+02
f16,Min,1.34E+02,2.44E+02,2.17E+02,2.18E+02
,Median,1.44E+02,2.57E+02,2.42E+02,2.31E+02
,Mean,1.45E+02,2.60E+02,2.42E+02,2.33E+02
,Std,5.78E+00,1.10E+01,1.00E+01,1.40E+01
f17,Min,1.18E+03,3.18E+02,2.10E+02,2.85E+02
,Median,2.51E+03,4.36E+02,3.23E+02,4.19E+02
,Mean,2.73E+03,4.52E+02,3.27E+02,4.22E+02
,Std,1.26E+03,1.04E+02,7.30E+01,7.70E+01
f18,Min,1.32E+03,1.71E+03,4.70E+03,3.00E+03
,Median,2.23E+03,3.76E+03,1.05E+04,7.42E+03
,Mean,2.47E+03,4.84E+03,1.12E+04,9.42E+03
,Std,9.17E+02,2.51E+03,4.83E+03,6.32E+03
f19,Min,3.28E+05,8.31E+04,7.63E+04,8.31E+04
,Median,4.95E+05,1.14E+05,1.14E+05,1.08E+05
,Mean,4.85E+05,1.20E+05,1.13E+05,1.11E+05
,Std,8.61E+04,2.18E+04,2.15E+04,2.13E+04
f20,Min,5.09E+07,2.02E+03,2.13E+03,1.89E+03
,Median,2.63E+08,2.43E+03,2.30E+03,2.22E+03
,Mean,3.19E+08,2.43E+03,2.35E+03,2.22E+03
,Std,2.01E+08,1.83E+02,1.68E+02,2.56E+02
